label,original_label,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_width,bbox_height,bbox_depth,min_intensity,max_intensity,sum_intensity,area,mean_intensity,sum_intensity_times_x,mass_center_x,sum_intensity_times_y,mass_center_y,sum_intensity_times_z,mass_center_z,sum_x,centroid_x,sum_y,centroid_y,sum_z,centroid_z,sum_distance_to_centroid,mean_distance_to_centroid,sum_distance_to_mass_center,mean_distance_to_mass_center,standard_deviation_intensity,max_distance_to_centroid,max_distance_to_mass_center,mean_max_distance_to_centroid_ratio,mean_max_distance_to_mass_center_ratio,annotated_class,key
1,1,881,114,0,901,135,0,21,22,1,22085,45910,2426297,90,26958.855,2159599600,890.08044,298793500,123.14795,0,0,80151,890.5667,11054,122.82223,0,0,726.7549,8.075054,729.01697,8.100188,5516.068,14.337129,13.805933,1.7754838,1.7043966,2,18
2,2,1055,140,0,1091,168,0,37,29,1,12900,37506,18390060,825,22290.982,19732156000,1072.9795,2841579800,154.51717,0,0,885426,1073.2437,126737,153.6206,0,0,9115.913,11.049592,9139.185,11.0778,4666.6304,19.407562,19.697443,1.7564054,1.7781006,2,36
3,3,994,206,0,1040,254,0,47,49,1,9274,29820,22711528,1479,15356.002,23092070000,1016.7555,5251410400,231.22224,0,0,1504868,1017.4902,341209,230.7025,0,0,23003.256,15.553249,23024.316,15.567489,3279.9714,29.182732,30.062555,1.876311,1.9311115,2,54
4,4,195,567,0,221,591,0,27,25,1,9917,28961,8311767,455,18267.62,1731368800,208.30333,4818037000,579.6646,0,0,94518,207.73186,263405,578.91205,0,0,3781.549,8.311096,3795.377,8.341487,3543.4736,14.732993,15.645339,1.7726895,1.8756056,2,72
5,5,479,665,0,521,701,0,43,37,1,11145,36862,20258632,1104,18350.21,10121191000,499.59894,13847581000,683.53973,0,0,551593,499.63135,754332,683.2717,0,0,14630.034,13.2518425,14631.14,13.252844,3979.4807,24.270805,24.403324,1.8315042,1.8413651,2,90
6,6,361,686,0,391,718,0,31,33,1,14436,33194,14815637,718,20634.592,5563030500,375.4837,10390264000,701.3039,0,0,269693,375.61697,503721,701.5613,0,0,7571.5415,10.545322,7574.043,10.548806,3220.3132,20.033508,19.749735,1.8997531,1.8722247,2,108
7,7,475,732,0,505,762,0,31,31,1,13316,40191,11391810,591,19275.482,5600297000,491.6073,8505763300,746.656,0,0,290629,491.75803,441747,747.45685,0,0,5664.9116,9.585299,5676.241,9.604469,4684.641,17.231289,17.99058,1.797679,1.8731467,2,126
8,8,444,768,0,478,792,0,35,25,1,12828,34506,11579145,594,19493.51,5358556700,462.77655,9030610000,779.903,0,0,274854,462.71716,463610,780.4882,0,0,5631.8726,9.481267,5640.627,9.496005,4036.7178,19.505198,19.406143,2.0572352,2.0436113,2,144
9,9,507,772,0,549,838,0,43,67,1,10866,29060,33878028,2051,16517.81,17848633000,526.84985,27312407000,806.19824,0,0,1080364,526.7499,1653165,806.02875,0,0,38091.832,18.57232,38094.53,18.573637,2779.5706,35.94837,35.75159,1.9355886,1.9248568,2,162
10,10,602,889,0,646,929,0,45,41,1,11562,35906,21073914,1133,18600.102,13161964000,624.5619,19111252000,906.8677,0,0,707943,624.83936,1028715,907.9568,0,0,15761.902,13.911653,15796.99,13.942621,4044.5122,27.04767,26.63453,1.9442457,1.9102957,2,180
